,followersCount,followsCount,highlightReelCount,postsCount,med_likes,status,user_digits,full_len,full_characters,full_digits,bio_len,bio_emojis
35,2377.0,1086.0,3.0,73.0,36.0,1,0,9,0,0,98,4
36,290.0,380.0,0.0,349.0,10.5,1,0,12,0,0,0,0
37,846632.0,2891.0,7.0,1502.0,12830.5,1,0,13,0,0,97,4
38,1136.0,1867.0,0.0,16.0,214.5,1,0,25,0,0,35,3
39,1263.0,1242.0,0.0,499.0,2.5,1,0,12,1,0,106,4
40,672.0,550.0,0.0,34.0,,1,0,16,1,0,113,7
41,110.0,6123.0,0.0,37.0,,0,0,22,1,0,14,0
42,1727.0,1888.0,0.0,62.0,,1,0,22,1,0,97,3
43,2150.0,2889.0,0.0,37.0,,1,0,12,0,0,53,2
44,114949.0,882.0,12.0,643.0,1060.5,1,0,12,0,0,127,0
45,8259.0,199.0,2.0,188.0,591.5,1,0,10,0,0,6,0
46,166.0,262.0,0.0,150.0,,1,0,14,0,0,11,1
47,164.0,4854.0,0.0,5.0,29.0,0,0,0,0,0,39,7
48,481.0,424.0,2.0,8.0,102.0,1,0,12,0,0,15,0
49,1106.0,1412.0,5.0,72.0,3.0,1,1,9,0,0,132,0
50,123.0,152.0,0.0,10.0,15.0,1,0,20,1,0,108,0
51,381.0,2459.0,0.0,4.0,,0,0,7,3,0,88,2
52,4390.0,3489.0,0.0,32.0,,1,0,25,20,0,117,28
53,979.0,125.0,5.0,101.0,110.0,1,0,11,0,0,61,0
54,737.0,1024.0,0.0,2.0,116.0,1,0,13,0,0,0,0
55,0.0,1.0,0.0,0.0,,0,0,6,0,0,0,0
56,70.0,565.0,0.0,22.0,0.0,0,3,0,0,0,0,0
57,333.0,289.0,0.0,72.0,31.0,1,0,14,0,0,0,0
58,19.0,6.0,0.0,0.0,,1,0,6,0,0,0,0
59,103.0,137.0,0.0,36.0,6.0,1,0,0,0,0,0,0
60,601.0,154.0,6.0,20.0,178.0,1,0,9,0,0,90,5
